company_name,high,low,last_price,prev_close,change,percent_gain
Eicher Motors,"2,620.00","2,551.00","2,614.00","2,521.85",92.15,3.65
M&M,874.80,853.00,871.50,849.00,22.5,2.65
ITC,226.80,224.00,226.20,222.45,3.75,1.69
Bajaj Auto,"3,759.00","3,718.50","3,754.45","3,698.40",56.05,1.52
IOC,135.00,133.55,134.55,132.55,2,1.51
Divis Labs,"5,225.00","5,170.10","5,217.10","5,140.15",76.95,1.5
Larsen,"1,920.85","1,900.00","1,911.75","1,889.50",22.25,1.18
Hero Motocorp,"2,677.00","2,650.00","2,672.40","2,641.45",30.95,1.17
BPCL,420.25,418.10,419.50,414.90,4.6,1.11
Tata Motors,493.55,488.00,490.30,484.90,5.4,1.11
IndusInd Bank,"1,195.00","1,185.00","1,189.85","1,177.95",11.9,1.01
Kotak Mahindra,"2,062.00","2,039.00","2,057.60","2,037.55",20.05,0.98
SBI,535.90,531.00,532.40,527.65,4.75,0.9
HDFC Bank,"1,597.85","1,590.10","1,595.55","1,581.45",14.1,0.89
Nestle,"18,949.00","18,811.90","18,898.85","18,737.15",161.7,0.86
Sun Pharma,797.00,788.50,793.95,787.95,6,0.76
HDFC Life,699.90,695.00,697.00,692.30,4.7,0.68
Adani Ports,716.45,713.00,713.85,709.20,4.65,0.66
Bajaj Finserv,"17,750.00","17,500.00","17,623.95","17,509.45",114.5,0.65
Titan Company,"2,444.80","2,422.00","2,433.25","2,417.95",15.3,0.63
HCL Tech,"1,187.15","1,178.00","1,183.65","1,176.35",7.3,0.62
Reliance,"2,500.00","2,490.00","2,498.75","2,483.60",15.15,0.61
Coal India,171.40,169.75,170.75,169.75,1,0.59
UPL,745.00,738.00,741.30,737.05,4.25,0.58
Power Grid Corp,185.85,184.25,185.00,183.95,1.05,0.57
Wipro,657.65,655.00,656.00,652.50,3.5,0.54
SBI Life Insura,"1,189.95","1,172.55","1,184.90","1,178.80",6.1,0.52
Infosys,"1,717.00","1,710.00","1,711.00","1,702.50",8.5,0.5
Tech Mahindra,"1,515.00","1,501.00","1,505.90","1,498.55",7.35,0.49
HUL,"2,430.00","2,420.00","2,423.00","2,411.35",11.65,0.48
Britannia,"3,658.00","3,639.35","3,646.50","3,629.85",16.65,0.46
TCS,"3,513.25","3,505.00","3,508.10","3,492.25",15.85,0.45
Axis Bank,757.05,751.40,753.80,750.60,3.2,0.43
Shree Cements,"29,219.70","28,980.55","29,099.65","28,980.55",119.1,0.41
Bharti Airtel,704.80,699.20,701.85,699.10,2.75,0.39
NTPC,138.30,137.05,137.25,136.75,0.5,0.37
Tata Steel,"1,335.00","1,330.00","1,330.25","1,326.05",4.2,0.32
Maruti Suzuki,"7,819.95","7,746.00","7,754.30","7,734.25",20.05,0.26
TATA Cons. Prod,834.60,826.55,829.00,826.90,2.1,0.25
Bajaj Finance,"7,569.00","7,521.05","7,534.00","7,516.25",17.75,0.24
HDFC,"2,909.00","2,899.05","2,902.00","2,895.90",6.1,0.21
Grasim,"1,800.00","1,785.55","1,788.70","1,785.55",3.15,0.18
ONGC,152.85,151.70,152.20,152.00,0.2,0.13
Dr Reddys Labs,"4,788.65","4,771.35","4,775.00","4,771.65",3.35,0.07
Asian Paints,"3,190.00","3,145.00","3,171.55","3,170.65",0.9,0.03
